Study_Hours,Attendance,Previous_Score,Assignment_Score,Sleep_Hours,Participation,Final_Score
2,65,55,60,6,40,57
3,70,60,65,6,45,62
4,72,62,68,7,50,66
5,75,65,70,7,55,70
6,78,68,72,7,60,74
7,80,70,75,8,65,78
8,82,73,78,8,70,82
9,85,76,80,8,75,85
10,88,80,84,8,80,89
4,68,58,63,6,45,61
5,73,64,69,7,52,68
6,77,67,73,7,58,73
7,81,71,76,8,63,79
8,84,74,79,8,68,83
9,87,78,82,8,74,87
3,66,56,62,6,42,59
5,76,66,71,7,57,71
6,79,69,74,7,61,75
7,83,72,77,8,66,80
10,90,82,86,9,85,92
2,62,52,58,6,35,54
4,71,61,67,7,48,65
6,80,70,74,8,62,76
8,86,77,81,8,72,85
9,89,81,85,9,78,90
3,69,59,64,6,44,60
5,74,63,70,7,54,69
7,82,72,78,8,67,80
8,85,75,80,8,71,84
10,92,84,88,9,88,94
